Please name one charity you have given to in the last five years.,"Do you wish to give to [QID165-ChoiceTextEntryValue]? If you do, we will donate an amount you specify from your payment on your behalf.",give_ind,How much do you wish to give?,amount,Why did you choose to give?,Why did you choose not to give?,Do you wish to give to another charity?,I feel [QID165-ChoiceTextEntryValue] is grateful.,grateful_num,I feel [QID165-ChoiceTextEntryValue] is greedy.,greedy_num,recency,frequency,loyalty,"How much did you give each year, on average, to [QID165-ChoiceTextEntryValue]?",monetary,What is your gender?,What is your age?,What is your annual income?,"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",condition
Boys Town,Yes,1,0.2,0.2,this charity helps kids in need,NA,NA,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,100,100,Female,45 - 54,"More than $150,000",4 year degree,Control
ASPCA,Yes,1,0.2,0.2,Because I want to help them whenever I can,NA,NA,Agree,4,Strongly disagree,1,2021,5,loyal,50,50,Female,45 - 54,"$90,000 - $99,999",4 year degree,Control
Big brother big sister,Yes,1,0.5,0.5,I support what they do,NA,NA,Agree,4,Strongly disagree,1,2020,3,nonloyal,100,100,Male,25 - 34,"$80,000 - $89,999",4 year degree,Control
Horseability,Yes,1,0.1,0.1,bc I like them,NA,NA,Neither agree nor disagree,3,Disagree,2,2019,3,nonloyal,100,100,Female,18 - 24,"$10,000 - $19,999",Some college,Treatment
St. Jude's Children's Research Hospital,Yes,1,0.2,0.2,Because I believe in the cause and want to help them in their mission.,NA,NA,Strongly agree,5,Disagree,2,2020,2,nonloyal,50,50,Female,25 - 34,"$60,000 - $69,999",4 year degree,Treatment
Red Cross,Yes,1,0.5,0.5,"Red Cross is a medical charity, so it would make sense to give more to them during a pandemic.",NA,NA,Strongly agree,5,Disagree,2,2021,3,loyal,25,25,Female,18 - 24,"$70,000 - $79,999",Some college,Control
Toys for Tots,Yes,1,0.5,0.5,"I have more than I need. Donating will not negatively affect me, only help others which is something i strive to do",NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,1000,1000,Female,18 - 24,"Less than $10,000",Some college,Treatment
Alzheimer's Association,Yes,1,0.4,0.4,I care about the cause they are fighting for,NA,NA,Agree,4,Neither agree nor disagree,3,2019,1,nonloyal,10,10,Female,18 - 24,"$60,000 - $69,999",Some college,Treatment
Covenant House,No,0,NA,0,NA,We give 4 times a year as our financial advisor has told us to do.,No,Strongly agree,5,Strongly disagree,1,2021,5,loyal,8000,8000,Female,45 - 54,"$100,000 - $149,999",2 year degree,Treatment
ASPCA,No,0,NA,0,NA,I am already a member of their monthly giving program,No,Agree,4,Disagree,2,2021,3,loyal,200,200,Female,18 - 24,"$20,000 - $29,999",2 year degree,Treatment
Best Friends of Utah,Yes,1,0.5,0.5,I really support their organization,NA,NA,Strongly agree,5,Disagree,2,2021,3,loyal,50,50,Female,25 - 34,"$40,000 - $49,999",2 year degree,Treatment
compassion,Yes,1,0.3,0.3,they need it more than i do,NA,NA,Agree,4,Disagree,2,2021,3,loyal,450,450,Female,18 - 24,"$20,000 - $29,999",4 year degree,Control
Sunrise Movement,Yes,1,0.5,0.5,It is a cause that is important to me and the world at large,NA,NA,Agree,4,Disagree,2,2020,1,nonloyal,50,50,Female,18 - 24,"$40,000 - $49,999",4 year degree,Control
St. Jude,No,0,NA,0,NA,because the payment is so small that it wouldn't make a difference to them,No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,1000,1000,Female,18 - 24,"$100,000 - $149,999",Some college,Control
St. Jude Children's Hospital,Yes,1,0.5,0.5,I love the organization and think they will benefit from the donation.,NA,NA,Strongly agree,5,Disagree,2,2021,3,loyal,2000,2000,Female,18 - 24,"$90,000 - $99,999",Some college,Control
Women Giving Back,No,0,NA,0,NA,I can not afford to donate right now.,No,Strongly agree,5,Strongly disagree,1,2019,1,nonloyal,50,50,Non-binary/third gender,18 - 24,"$60,000 - $69,999",High school graduate,Control
ThisIsHouston,Yes,1,0.1,0.1,Because they seem genuine and really need the support.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,3,loyal,100,100,Female,18 - 24,"$20,000 - $29,999",Some college,Treatment
Planned Parenthood,Yes,1,0.5,0.5,I believe in equal healthcare of women of all economic backgrounds.,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,10,10,Female,18 - 24,"Less than $10,000",Some college,Control
Be the Match,No,0,NA,0,NA,I don't feel like it will actually get to them via this survey,No,Strongly agree,5,Disagree,2,2020,3,nonloyal,25,25,Female,25 - 34,"$90,000 - $99,999",Professional degree,Treatment
ASPCA,Yes,1,0.4,0.4,It is the right thing to do.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,5,loyal,100,100,Female,35 - 44,"$30,000 - $39,999",2 year degree,Control
St. Judes Hospital,Yes,1,0.5,0.5,Child cancer is bad I want to be able to help as much as i can,NA,NA,Agree,4,Neither agree nor disagree,3,2021,2,nonloyal,100,100,Female,18 - 24,"$60,000 - $69,999",High school graduate,Treatment
Fillet For Friends,Yes,1,0.5,0.5,Because they are a phenomenal foundation,NA,NA,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,100,100,Female,18 - 24,"$70,000 - $79,999",Professional degree,Control
The Church of Jesus Christ of Latter Day Saints,No,0,NA,0,NA,"I like to give on my own terms when I am ready, not when prompted by pandering from the charitable organizations.",No,Strongly agree,5,Disagree,2,2021,5,loyal,3500,3500,Male,25 - 34,"$30,000 - $39,999",4 year degree,Treatment
The Trevor Project,Yes,1,0.5,0.5,Because this is an opportunity for me to give without paying out of my own pocket.,NA,NA,Strongly agree,5,Strongly disagree,1,2021,1,nonloyal,20,20,Female,25 - 34,"$30,000 - $39,999",4 year degree,Control
individuals,Yes,1,0.5,0.5,because they need the money for their services,NA,NA,Agree,4,Disagree,2,2021,3,loyal,100,100,Female,18 - 24,"Less than $10,000",4 year degree,Treatment
Angel Wings International,Yes,1,0.5,0.5,"It's a great organization that helps Haitians, a group I feel a lot of people forget about",NA,NA,Strongly agree,5,Strongly disagree,1,2019,2,nonloyal,500,500,Female,25 - 34,"$20,000 - $29,999",4 year degree,Treatment
red cross,Yes,1,0.3,0.3,"People are in need, and it will be put towards helping them.",NA,NA,Agree,4,Neither agree nor disagree,3,2021,3,loyal,30,30,Female,18 - 24,"$30,000 - $39,999",4 year degree,Treatment
Humane society,No,0,NA,0,NA,Because it almost nothing and I can donate on my own,No,Neither agree nor disagree,3,Disagree,2,2021,1,nonloyal,100,100,Female,18 - 24,"Less than $10,000",2 year degree,Control
Native American Rights Fund,Yes,1,0.5,0.5,Because I feel that the work being done is important and beneficial to that community,NA,NA,Agree,4,Disagree,2,2021,1,nonloyal,30,30,Female,25 - 34,"$20,000 - $29,999",4 year degree,Control
Petsmart charities,No,0,NA,0,NA,i donated yesterday,No,Agree,4,Disagree,2,2021,4,loyal,25,25,Female,18 - 24,"$50,000 - $59,999",High school graduate,Treatment
Warrior Canine Connection,No,0,NA,0,NA,The amount is so small that I don't feel it would be useful.,No,Strongly agree,5,Disagree,2,2021,2,nonloyal,250,250,Female,55 - 64,"$100,000 - $149,999",Professional degree,Treatment
Planned Parenthood,Yes,1,0.5,0.5,I believe in the cause,NA,NA,Agree,4,Disagree,2,2021,5,loyal,85,85,Female,25 - 34,"$50,000 - $59,999",4 year degree,Control
Project Home Again,No,0,NA,0,NA,"I've already contributed over $200 to them within the last month, which was my budget for charity donations.",No,Strongly agree,5,Strongly disagree,1,2021,2,nonloyal,250,250,Female,25 - 34,"$40,000 - $49,999",Professional degree,Treatment
Christian Community Action,Yes,1,0.3,0.3,Because I know they make a difference in peoples lives,NA,NA,Strongly agree,5,Disagree,2,2021,5,loyal,200,200,Female,18 - 24,"Less than $10,000",High school graduate,Control
Black Lives Matter,Yes,1,0.5,0.5,"With the injustices that Black people are facing in the wake of police brutality, this is something that I feel strongly about and want to contribute in any way I can to bring justice to the black community",NA,NA,Strongly agree,5,Disagree,2,2020,2,nonloyal,15,15,Female,18 - 24,"$50,000 - $59,999",4 year degree,Treatment
